#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
11488930|2021-10-19T10:11:00|45.366833|-121.703667|2.14|uw|NEIC PDE|uw|uw61782492|Ml|0.19|UW|WASHINGTON-OREGON BORDER REGION
11488679|2021-10-18T22:50:15|45.365667|-121.702667|2.65|uw|NEIC PDE|uw|uw61782422|Ml|0.55|UW|WASHINGTON-OREGON BORDER REGION
11488653|2021-10-18T21:05:04|45.366333|-121.702|1.07|uw|NEIC PDE|uw|uw61782347|Md|0.11|UW|WASHINGTON-OREGON BORDER REGION
11488649|2021-10-18T20:55:27|45.367833|-121.698|2.56|uw|NEIC PDE|uw|uw61782337|Ml|0.21|UW|WASHINGTON-OREGON BORDER REGION
11488611|2021-10-18T19:40:59|45.3655|-121.702167|1.1|uw|NEIC PDE|uw|uw61782252|Md|0.11|UW|WASHINGTON-OREGON BORDER REGION
11488562|2021-10-18T17:16:25|45.371167|-121.705|2.67|uw|NEIC PDE|uw|uw61782132|Ml|0.28|UW|WASHINGTON-OREGON BORDER REGION
11488564|2021-10-18T17:07:38|45.362167|-121.701667|1.14|uw|NEIC PDE|uw|uw61782122|Md|0.12|UW|WASHINGTON-OREGON BORDER REGION
11488561|2021-10-18T16:40:16|45.368333|-121.701333|2.34|uw|NEIC PDE|uw|uw61782092|Ml|1.08|UW|WASHINGTON-OREGON BORDER REGION
11488569|2021-10-18T16:38:39|45.363667|-121.701167|1.15|uw|NEIC PDE|uw|uw61782097|Ml|0.19|UW|WASHINGTON-OREGON BORDER REGION
11488471|2021-10-18T15:45:27|45.370667|-121.700833|2.62|uw|NEIC PDE|uw|uw61782067|Md|0.15|UW|WASHINGTON-OREGON BORDER REGION
11488470|2021-10-18T14:55:27|45.37|-121.706167|2.33|uw|NEIC PDE|uw|uw61782047|Ml|0.2|UW|WASHINGTON-OREGON BORDER REGION
11488468|2021-10-18T14:50:58|45.369833|-121.702833|2.35|uw|NEIC PDE|uw|uw61782042|Ml|1.31|UW|WASHINGTON-OREGON BORDER REGION
11488479|2021-10-18T11:08:13|45.370833|-121.705|2.62|uw|NEIC PDE|uw|uw61782017|Md|0.13|UW|WASHINGTON-OREGON BORDER REGION
11488477|2021-10-18T11:06:42|45.372167|-121.698833|0.91|uw|NEIC PDE|uw|uw61782012|Ml|0.24|UW|WASHINGTON-OREGON BORDER REGION
11488587|2021-10-18T10:17:43|45.368667|-121.701167|2.13|uw|NEIC PDE|uw|uw61782007|Ml|0.55|UW|WASHINGTON-OREGON BORDER REGION
11488659|2021-10-18T06:23:24|45.3715|-121.703333|2.77|uw|NEIC PDE|uw|uw61781957|Ml|0.07|UW|WASHINGTON-OREGON BORDER REGION
