lon,lat,depth,Time UTC,mag
115.3,-8.78,16,2017-03-14T01:51:17,3.1
115.2,-8.74,122,2017-03-21T23:10:26,5.7
115.26,-8.59,122,2017-03-21T23:40:33,4.4
115.32,-8.31,66,2017-03-23T09:58:51,2.9
115.46,-8.39,101,2017-03-24T14:03:09,2.5
115.33,-8.71,70,2017-04-26T05:31:04,2.8
115.34,-8.09,10,2017-05-11T15:06:01,3
115.34,-8.12,10,2017-05-14T16:39:22,3.1
115.36,-8.11,10,2017-05-14T16:48:21,3.7
115.35,-8.13,10,2017-05-14T18:29:11,3.9
115.35,-8.11,10,2017-05-14T19:00:24,3.6
115.34,-8.11,10,2017-05-14T23:53:00,2.8
115.35,-8.13,10,2017-05-15T00:35:50,2.4
115.34,-8.11,10,2017-05-15T00:56:53,2.5
115.34,-8.12,11,2017-05-15T04:54:44,2.4
115.34,-8.1,10,2017-05-18T12:31:15,2.8
115.31,-8.1,10,2017-05-18T16:11:56,2.3
115.47,-8.32,12,2017-09-20T15:26:27,2.3
115.5,-8.3,12,2017-09-20T18:50:02,2.4
115.47,-8.31,10,2017-09-21T10:40:58,2.7
115.47,-8.33,10,2017-09-21T10:43:58,3.3
115.45,-8.31,10,2017-09-21T11:14:50,2.8
115.48,-8.29,11,2017-09-21T15:38:49,3
115.47,-8.37,10,2017-09-21T15:47:13,2.6
115.47,-8.33,10,2017-09-21T15:52:57,2.6
115.48,-8.3,10,2017-09-21T16:01:37,2.6
115.5,-8.39,10,2017-09-21T16:58:26,3.2
115.5,-8.35,10,2017-09-21T17:32:01,3.4
115.49,-8.37,10,2017-09-21T18:21:03,3.2
115.5,-8.32,10,2017-09-21T19:45:29,3.6
115.53,-8.28,10,2017-09-21T20:21:44,2.2
115.47,-8.31,10,2017-09-21T20:37:33,2.4
115.45,-8.27,16,2017-09-21T20:47:48,2.2
115.47,-8.29,12,2017-09-21T20:49:37,2.2
115.47,-8.35,10,2017-09-21T20:52:49,2.5
115.46,-8.28,15,2017-09-21T20:56:24,2.5
115.47,-8.29,13,2017-09-21T21:30:03,2.3
115.46,-8.29,13,2017-09-21T21:33:01,2.5
115.52,-8.3,10,2017-09-21T21:47:40,3.5
115.48,-8.29,10,2017-09-21T22:10:12,2.9
115.51,-8.26,15,2017-09-21T23:00:37,3
115.47,-8.32,10,2017-09-21T23:39:09,2.8
115.5,-8.31,10,2017-09-21T23:50:06,3.4
115.45,-8.27,10,2017-09-22T02:19:33,2.9
115.46,-8.33,10,2017-09-22T02:54:04,3.3
115.49,-8.32,10,2017-09-22T03:13:40,3.2
115.48,-8.32,10,2017-09-22T03:18:50,3.1
115.49,-8.3,10,2017-09-22T03:21:31,2.6
115.49,-8.3,10,2017-09-22T03:25:20,3
115.47,-8.32,11,2017-09-22T03:32:37,3.4
115.52,-8.31,10,2017-09-22T03:34:56,2.9
115.46,-8.28,13,2017-09-22T03:37:08,2.8
115.44,-8.28,16,2017-09-22T03:45:28,2.8
115.52,-8.33,10,2017-09-22T04:04:48,3.1
115.49,-8.33,10,2017-09-22T04:24:01,3.9
115.44,-8.3,18,2017-09-22T05:00:32,2.7
115.49,-8.32,10,2017-09-22T05:05:57,2.8
115.51,-8.34,10,2017-09-22T05:22:09,2.6
