VolcanoNumber,VolcanoName,VolcanoType,LastEruptionYear,Country,GeologicalSummary,Region,Subregion,Latitude,Longitude,Elevation,TectonicSetting,GeologicEpoch,EvidenceCategory,MajorRockType,LastUpdateDate,Remarks
210010,West Eifel Volcanic Field,Maar(s),-8300,Germany,"The West Eifel Volcanic Field of western Germany, SW of the city of Bonn, is a dominantly Pleistocene group of 240 scoria cones, maars, and small stratovolcanoes covering an area of about 600 km2. The smaller, but better known, East Eifel Volcanic Field is about 40 km NE. Individual vents spread across a broad NW-SE-trending area extending about 50 km from the towns of Ormont on the NW to Bad Bertrich on the SE. Eruptions originated from a mantle plume through Devonian sedimentary and metamorphic rocks. Two-thirds of the volcanic centers in the field are scoria cones; lava flows have been produced from about half of them. About 30% of the centers are maars or tuff rings, many of which are occupied by lakes. About 230 eruptions have occurred during the past 730,000 years. The latest eruptions formed the Ulmener, Pulvermaar, and Strohn maars around the end of the Pleistocene and the beginning of the Holocene.",Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Foidite,4/1/21 8:00,"The West Eifel Volcanic Field of western Germany, SW of the city of Bonn, is a dominantly Pleistocene group of 240 scoria cones, maars, and small stratovolcanoes covering an area of about 600 km2. The smaller, but better known, East Eifel Volcanic Field is about 40 km NE. Individual vents spread across a broad NW-SE-trending area extending about 50 km from the towns of Ormont on the NW to Bad Bertrich on the SE. Eruptions originated from a mantle plume through Devonian sedimentary and metamorphic rocks. Two-thirds of the volcanic centers in the field are scoria cones; lava flows have been produced from about half of them. About 30% of the centers are maars or tuff rings, many of which are occupied by lakes. About 230 eruptions have occurred during the past 730,000 years. The latest eruptions formed the Ulmener, Pulvermaar, and Strohn maars around the end of the Pleistocene and the beginning of the Holocene."
210020,Chaine des Puys,Lava dome(s),-4040,France,"The Chaîne des Puys, prominent in the history of volcanology, form a N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central that has been active into the Holocene. Construction of the present-day Chaîne des Puys began about 70,000 years before present (BP), and was largely completed by the beginning of the Holocene. Holocene eruptions constructed lava domes such as the Puy de Dôme, whose growth was accompanied by pyroclastic flows, cinder cones that fed lengthy lava flows, and maars. The latest well-documented activity took place about 6000 BP near Besse-en-Chandesse and included the powerful explosions that formed the Lac Pavin maar. The dating of younger tephras has not yet been confirmed, and reports of historical eruptions as late as 1000 BP have been discredited.",Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Basalt / Picro-Basalt,4/1/21 8:00,"The Chaîne des Puys, prominent in the history of volcanology, form a N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central that has been active into the Holocene. Construction of the present-day Chaîne des Puys began about 70,000 years before present (BP), and was largely completed by the beginning of the Holocene. Holocene eruptions constructed lava domes such as the Puy de Dôme, whose growth was accompanied by pyroclastic flows, cinder cones that fed lengthy lava flows, and maars. The latest well-documented activity took place about 6000 BP near Besse-en-Chandesse and included the powerful explosions that formed the Lac Pavin maar. The dating of younger tephras has not yet been confirmed, and reports of historical eruptions as late as 1000 BP have been discredited."
210030,Olot Volcanic Field,Pyroclastic cone(s),,Spain,"The Olot volcanic field (also known as the Garrotxa volcanic field) occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona.  The field consists of a large number of Strombolian pyroclastic cones and associated alkali basaltic lava flows, and is part of the NE Volcanic Province, which includes the Ampurdán and Selva areas to the SE.  The pyroclastic cones are preferentially located at the intersection of E-W and NW-SE faults that cut sedimentary and metamorphic basement rocks.  The latest dated eruption occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred.",Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Intraplate / Continental crust (> 25 km),Holocene,Evidence Credible,Trachybasalt / Tephrite Basanite,4/1/21 8:00,"The Olot volcanic field (also known as the Garrotxa volcanic field) occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona.  The field consists of a large number of Strombolian pyroclastic cones and associated alkali basaltic lava flows, and is part of the NE Volcanic Province, which includes the Ampurdán and Selva areas to the SE.  The pyroclastic cones are preferentially located at the intersection of E-W and NW-SE faults that cut sedimentary and metamorphic basement rocks.  The latest dated eruption occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred."
210040,Calatrava Volcanic Field,Pyroclastic cone(s),-3600,Spain,"The Calatrava volcanic field lies in central Spain near Ciudad Real. The more than 300 basaltic-to-foiditic pyroclastic cones, maars, and lava domes cover an area of more than 5000 km2. The field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. It lies in a continental rift setting and contains several lake-filled maars. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.",Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Intraplate / Continental crust (> 25 km),Holocene,Eruption Dated,Basalt / Picro-Basalt,4/1/21 8:00,"The Calatrava volcanic field lies in central Spain near Ciudad Real. The more than 300 basaltic-to-foiditic pyroclastic cones, maars, and lava domes cover an area of more than 5000 km2. The field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. It lies in a continental rift setting and contains several lake-filled maars. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries."
211003,Vulsini,Caldera,-104,Italy,"The Vulsini volcanic complex in central Italy covers about 2,200 km2 at the northern end of the Roman Magmatic Province. Following lava extrusion and explosive eruptions that constructed the main complex, the 16-km-wide, lake-filled Bolsena caldera on the east and the 8 x 11 km Latera caldera on the west were formed during major Pleistocene explosive eruptions at about 0.3 and 0.16 million years ago, respectively. Five major Plinian fall deposits were erupted from vents at or near Latera caldera during the late Pleistocene. The latest major eruption formed unwelded pumice flows and welded airfall tuffs of the Pitigliano Formation, associated with collapse of the Vepe caldera about 166,000 years ago at the NW end of Latera caldera. Post-caldera volcanism produced scoria cones and lava flows from vents within and to the west of Latera caldera. Youthful-looking remnants of ash cones in Lake Bolsena may have given rise to a legend of a pre-historical fire-god, Volta. An historical report noted that ""a flame shot up near Volsini"" in 104 BCE.",Mediterranean and Western Asia,Italy,42.6,11.93,800,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,Trachyte / Trachydacite,4/1/21 8:00,"The Vulsini volcanic complex in central Italy covers about 2,200 km2 at the northern end of the Roman Magmatic Province. Following lava extrusion and explosive eruptions that constructed the main complex, the 16-km-wide, lake-filled Bolsena caldera on the east and the 8 x 11 km Latera caldera on the west were formed during major Pleistocene explosive eruptions at about 0.3 and 0.16 million years ago, respectively. Five major Plinian fall deposits were erupted from vents at or near Latera caldera during the late Pleistocene. The latest major eruption formed unwelded pumice flows and welded airfall tuffs of the Pitigliano Formation, associated with collapse of the Vepe caldera about 166,000 years ago at the NW end of Latera caldera. Post-caldera volcanism produced scoria cones and lava flows from vents within and to the west of Latera caldera. Youthful-looking remnants of ash cones in Lake Bolsena may have given rise to a legend of a pre-historical fire-god, Volta. An historical report noted that ""a flame shot up near Volsini"" in 104 BCE."
211004,Colli Albani,Caldera,,Italy,"The Colli Albani (Alban Hills) complex immediately SE of Rome contains a large Pleistocene stratovolcano with a 10 x 12 km caldera formed during an eruptive period with six major explosions that produced at least 280 km3 of ejecta between about 560,000 and 350,000 years ago. Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the Artemisio-Tuscolana caldera and on its outer flanks. The post-caldera eruptions have buried the western side of the caldera rim. The largest of the post-caldera craters is Lake Albano, a 2.5 x 4 km compound maar constructed at the WSW margin of the caldera in multiple stages dating back to about 69,000 years ago. The age of the most recent eruptions from the Albano maar is not known precisely; variable dates range from about 36,000 years ago to perhaps the Holocene, when several possibly non-volcanic lake overflow lahars occurred.  Reported historical eruptions during the Roman period are uncertain, but subsequent seismic swarms lasting up to two years have been recorded.",Mediterranean and Western Asia,Italy,41.73,12.7,949,Subduction zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,Foidite,4/1/21 8:00,"The Colli Albani (Alban Hills) complex immediately SE of Rome contains a large Pleistocene stratovolcano with a 10 x 12 km caldera formed during an eruptive period with six major explosions that produced at least 280 km3 of ejecta between about 560,000 and 350,000 years ago. Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the Artemisio-Tuscolana caldera and on its outer flanks. The post-caldera eruptions have buried the western side of the caldera rim. The largest of the post-caldera craters is Lake Albano, a 2.5 x 4 km compound maar constructed at the WSW margin of the caldera in multiple stages dating back to about 69,000 years ago. The age of the most recent eruptions from the Albano maar is not known precisely; variable dates range from about 36,000 years ago to perhaps the Holocene, when several possibly non-volcanic lake overflow lahars occurred.  Reported historical eruptions during the Roman period are uncertain, but subsequent seismic swarms lasting up to two years have been recorded."
211010,Campi Flegrei,Caldera,1538,Italy,"Campi Flegrei is a large 13-km-wide caldera on the outskirts of Naples that contains numerous phreatic tuff rings and pyroclastic cones. The caldera margins are poorly defined, and on the south lie beneath the Gulf of Pozzuoli. Episodes of dramatic uplift and subsidence within the dominantly trachytic caldera have occurred since Roman times. The earliest known eruptive products are dated 47,000 yrs BP. The caldera formed following two large explosive eruptions, the massive Campanian ignimbrite about 36,000 BP, and the over 40 km3 Neapolitan Yellow Tuff (NYT) about 15,000 BP. Following eruption of the NYT a large number of eruptions have taken place from widely scattered subaerial and submarine vents. Most activity occurred during three intervals: 15,000-9500, 8600-8200, and 4800-3800 BP. Two eruptions have occurred in historical time, one in 1158 at Solfatara and the other in 1538 that formed the Monte Nuovo cinder cone.",Mediterranean and Western Asia,Italy,40.827,14.139,458,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,Trachyte / Trachydacite,4/1/21 8:00,"Campi Flegrei is a large 13-km-wide caldera on the outskirts of Naples that contains numerous phreatic tuff rings and pyroclastic cones. The caldera margins are poorly defined, and on the south lie beneath the Gulf of Pozzuoli. Episodes of dramatic uplift and subsidence within the dominantly trachytic caldera have occurred since Roman times. The earliest known eruptive products are dated 47,000 yrs BP. The caldera formed following two large explosive eruptions, the massive Campanian ignimbrite about 36,000 BP, and the over 40 km3 Neapolitan Yellow Tuff (NYT) about 15,000 BP. Following eruption of the NYT a large number of eruptions have taken place from widely scattered subaerial and submarine vents. Most activity occurred during three intervals: 15,000-9500, 8600-8200, and 4800-3800 BP. Two eruptions have occurred in historical time, one in 1158 at Solfatara and the other in 1538 that formed the Monte Nuovo cinder cone."
211020,Vesuvius,Stratovolcano,1944,Italy,"One of the world's most noted volcanoes, Vesuvius (Vesuvio) forms a dramatic backdrop to the Bay of Naples. The historically active cone of Vesuvius was constructed within a large caldera of the ancestral Monte Somma volcano, thought to have formed incrementally beginning about 17,000 years ago. The Monte Somma caldera wall has channeled lava flows and pyroclastic flows primarily to the south and west. Eight major explosive eruptions have taken place in the last 17,000 years, often accompanied by large pyroclastic flows and surges, such as during the well-known 79 CE Pompeii eruption. Intermittent eruptions since 79 CE were followed by a period of frequent long-term explosive and effusive eruptions beginning in 1631 and lasting until 1944. The 1631 eruption was the largest since 79 CE and produced devastating pyroclastic flows that reached as far as the coast and caused great destruction. Many towns are located on the volcano's flanks, and several million people live within areas potentially affected by eruptions of Vesuvius.",Mediterranean and Western Asia,Italy,40.821,14.426,1281,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,Phono-tephrite /  Tephri-phonolite,4/1/21 8:00,"One of the world's most noted volcanoes, Vesuvius (Vesuvio) forms a dramatic backdrop to the Bay of Naples. The historically active cone of Vesuvius was constructed within a large caldera of the ancestral Monte Somma volcano, thought to have formed incrementally beginning about 17,000 years ago. The Monte Somma caldera wall has channeled lava flows and pyroclastic flows primarily to the south and west. Eight major explosive eruptions have taken place in the last 17,000 years, often accompanied by large pyroclastic flows and surges, such as during the well-known 79 CE Pompeii eruption. Intermittent eruptions since 79 CE were followed by a period of frequent long-term explosive and effusive eruptions beginning in 1631 and lasting until 1944. The 1631 eruption was the largest since 79 CE and produced devastating pyroclastic flows that reached as far as the coast and caused great destruction. Many towns are located on the volcano's flanks, and several million people live within areas potentially affected by eruptions of Vesuvius."
211030,Ischia,Complex,1302,Italy,"The Ischia volcanic complex forms a rectangular, 6 x 9 km island immediately SW of the Campi Flegrei area at the western side of the Bay of Naples. The eruption of the trachytic Green Tuff ignimbrite about 56,000 years ago was followed by caldera formation. The high point on the island, Monte Epomeo, is a volcanic horst composed of the Green Tuff ignimbrite deposit that was submerged after its eruption and then uplifted. Volcanism on the island has been significantly affected by tectonism that formed a series of horsts and grabens; at least 800 m of uplift has formed as a result of resurgent doming during past 33,000 years. Many small monogenetic volcanoes were formed around the uplifted block. Volcanism during the Holocene produced a series of pumiceous tephras, tuff rings, lava domes, and lava flows, and a major collapse of Mount Epomeo produced a large submarine debris-avalanche deposit. The latest eruption, in 1302 CE, produced a spatter cone and the Arso lava flow, which reached the NE coast.",Mediterranean and Western Asia,Italy,40.73,13.897,789,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,Trachyte / Trachydacite,4/1/21 8:00,"The Ischia volcanic complex forms a rectangular, 6 x 9 km island immediately SW of the Campi Flegrei area at the western side of the Bay of Naples. The eruption of the trachytic Green Tuff ignimbrite about 56,000 years ago was followed by caldera formation. The high point on the island, Monte Epomeo, is a volcanic horst composed of the Green Tuff ignimbrite deposit that was submerged after its eruption and then uplifted. Volcanism on the island has been significantly affected by tectonism that formed a series of horsts and grabens; at least 800 m of uplift has formed as a result of resurgent doming during past 33,000 years. Many small monogenetic volcanoes were formed around the uplifted block. Volcanism during the Holocene produced a series of pumiceous tephras, tuff rings, lava domes, and lava flows, and a major collapse of Mount Epomeo produced a large submarine debris-avalanche deposit. The latest eruption, in 1302 CE, produced a spatter cone and the Arso lava flow, which reached the NE coast."
211031,Palinuro,Submarine,-8040,Italy,"Palinuro seamount in the Tyrrhenian Sea north of the Eolian Islands rises nearly 3000 m to within 70 m of the sea surface and has a horseshoe-shaped summit caldera.   A marine ash layer (PL-1) radiocarbon dated (calibrated age) at 9990 +/- 90 years ago is chemically and stratigraphically similiar to two ash layers of similar composition onland in southern Italy and was tentatively correlated to the Palinuro seamount activity (Siani et al., 2004).",Mediterranean and Western Asia,Italy,39.48,14.83,-70,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Dated,Phonolite,4/1/21 8:00,"Palinuro seamount in the Tyrrhenian Sea north of the Eolian Islands rises nearly 3000 m to within 70 m of the sea surface and has a horseshoe-shaped summit caldera.   A marine ash layer (PL-1) radiocarbon dated (calibrated age) at 9990 +/- 90 years ago is chemically and stratigraphically similiar to two ash layers of similar composition onland in southern Italy and was tentatively correlated to the Palinuro seamount activity (Siani et al., 2004)."
